No,Preprocessed Violent toxic words,Sentiment Value
,eschew,Positive
,estranged,Positive
,evade,Positive
,evasion,Positive
,evasive,Positive
,evil,Positive
,evildoer,Positive
,evilearsplitting,Positive
,evils,Positive
,eviscerate,Positive
,exacerbate,Positive
,exaggerate,Positive
,exaggeration,Positive
,exasperate,Positive
,exasperated,Positive
,exasperating,Positive
,exasperatingly,Positive
,exasperation,Positive
,excessive,Positive
,excessively,Positive
,exclusion,Positive
,excoriate,Positive
,excruciating,Positive
,excruciatingly,Positive
,excuse,Positive
,excuses,Positive
,execrate,Positive
,exhaust,Positive
,exhausted,Positive
,exhaustion,Positive
,exhausts,Positive
,exhaustsexhort,Positive
,exhort,Positive
,exile,Positive
,exorbitant,Positive
,exorbitantly,Positive
,expel,Positive
,expensive,Positive
,expire,Positive
,expired,Positive
,explode,Positive
,exploit,Positive
,exploitation,Positive
,explosive,Positive
,expropriate,Positive
,expropriation,Positive
,expulse,Positive
,expunge,Positive
,exterminate,Positive
,extermination,Positive
,extinguish,Positive
,extort,Positive
,extortion,Positive
,extraneous,Positive
,extravagance,Positive
,extravagant,Positive
,extravagantly,Positive
,extremism,Positive
,extremist,Positive
,extremists,Positive
,eyesore,Positive
,f**k,Positive
,fabricate,Positive
,fabrication,Positive
,facetious,Positive
,facetiously,Positive
,fail,Positive
,failed,Positive
,failing,Positive
,fails,Positive
,failure,Positive
,failures,Positive
,faint,Positive
,fainthearted,Positive
,faithless,Positive
,fake,Positive
,fall,Positive
,fallacies,Positive
,fallacious,Positive
,fallaciously,Positive
,fallaciousness,Positive
,fallacy,Positive
,fallen,Positive
,falling,Positive
,fallout,Positive
,falls,Positive
,false,Positive
,falsehood,Positive
,falsely,Positive
,falsify,Positive
,falter,Positive
,faltered,Positive
,famine,Positive
,famished,Positive
,fanatic,Positive
,fanatical,Positive
,fanatically,Positive
,fanaticism,Positive
,fanatics,Positive
,fanciful,Positive
,far-fetched,Positive
,farce,Positive
,farcical,Positive
,farcical-yet-provocative,Positive
,farcically,Positive
,farfetched,Positive
,fascism,Positive
,fascist,Positive
,fastidious,Positive
,fastidiously,Positive
,fat,Positive
,fat-cat,Positive
,fat-cats,Positive
,fatal,Positive
,fatalistic,Positive
,fatalistically,Positive
,fatally,Positive
,fateful,Positive
,fatefully,Positive
,fathomless,Positive
,fatigue,Positive
,fatigued,Positive
,fatty,Positive
,fatuity,Positive
,fatuous,Positive
,fatuously,Positive
,fault,Positive
,faults,Positive
,faulty,Positive
,fawningly,Positive
,faze,Positive
,fear,Positive
,fearful,Positive
,fearfully,Positive
,fears,Positive
,fearsome,Positive
,feckless,Positive
,feeble,Positive
,feebleminded,Positive
,feign,Positive
,feint,Positive
,fell,Positive
,felon,Positive
,felonious,Positive
,ferociously,Positive
,ferocity,Positive
,fetid,Positive
,fever,Positive
,feverish,Positive
,fevers,Positive
,fiasco,Positive
,fib,Positive
,fibber,Positive
,fickle,Positive
,fiction,Positive
,fictional,Positive
,fictitious,Positive
,fidget,Positive
,fidgety,Positive
,fiend,Positive
,fiendish,Positive
,fierce,Positive
,fight,Positive
,figurehead,Positive
,filth,Positive
,filthy,Positive
,finagle,Positive
,finicky,Positive
,fissures,Positive
,fist,Positive
,flabbergast,Positive
,flabbergasted,Positive
,flagging,Positive
,flagrant,Positive
,flagrantly,Positive
,flair,Positive
,flairs,Positive
,flak,Positive
,flake,Positive
,flakey,Positive
,flaking,Positive
,flaky,Positive
,flare,Positive
,flares,Positive
,flat-out,Positive
,flaunt,Positive
,flaw,Positive
,flawed,Positive
,flaws,Positive
,flee,Positive
,fleeing,Positive
,fleer,Positive
,flees,Positive
,fleeting,Positive
,flicker,Positive
,flickering,Positive
,flickers,Positive
,flighty,Positive
,flimflam,Positive
,flimsy,Positive
,flirt,Positive
,flirty,Positive
,floored,Positive
,flounder,Positive
,floundering,Positive
,flout,Positive
,fluster,Positive
,foe,Positive
,fool,Positive
,fooled,Positive
,foolhardy,Positive
,foolish,Positive
,foolishly,Positive
,foolishness,Positive
,forbid,Positive
,forbidden,Positive
,forbidding,Positive
,forceful,Positive
,foreboding,Positive
,forebodingly,Positive
,forfeit,Positive
,forged,Positive
,forgetful,Positive
,forgetfully,Positive
,forgetfulness,Positive
,forlorn,Positive
,forlornly,Positive
,forsake,Positive
,forsaken,Positive
,forswear,Positive
,foul,Positive
,foully,Positive
,foulness,Positive
,fractious,Positive
,fractiously,Positive
,fracture,Positive
,fragile,Positive
,fragmented,Positive
,frail,Positive
,frantic,Positive
,frantically,Positive
,franticly,Positive
,fraud,Positive
,fraudulent,Positive
,fraught,Positive
,frazzle,Positive
,frazzled,Positive
,freak,Positive
,freaking,Positive
,freakish,Positive
,freakishly,Positive
,freaks,Positive
,freeze,Positive
,freezes,Positive
,freezing,Positive
,frenetic,Positive
,frenetically,Positive
,frenzied,Positive
,frenzy,Positive
,fret,Positive
,fretful,Positive
,frets,Positive
,friction,Positive
,frictions,Positive
,fried,Positive
,frigging,Positive
,fright,Positive
,frighten,Positive
,frightening,Positive
,frighteningly,Positive
,frightful,Positive
,frightfully,Positive
,frigid,Positive
,frost,Positive
,frown,Positive
,froze,Positive
,frozen,Positive
,fruitless,Positive
,fruitlessly,Positive
,frustrate,Positive
,frustrated,Positive
,frustrates,Positive
,frustrating,Positive
,frustratingly,Positive
,frustration,Positive
,frustrations,Positive
,fuck,Positive
,fudge,Positive
,fugitive,Positive
,full-blown,Positive
,full-blownfulminate,Positive
,fulminate,Positive
,fumble,Positive
,fume,Positive
,fumes,Positive
,fundamentalism,Positive
,funky,Positive
,funnily,Positive
,funny,Positive
,furious,Positive
,furiously,Positive
,furor,Positive
,fury,Positive
,fuss,Positive
,fussy,Positive
,fustigate,Positive
,fusty,Positive
,futile,Positive
,futilely,Positive
,futility,Positive
,fuzzy,Positive
,fuzzyfail,Positive
,f”ck,Positive
,f”cking,Positive
,gabble,Positive
,gaff,Positive
,gaffe,Positive
,gainsay,Positive
,gainsayer,Positive
,gall,Positive
,galling,Positive
,gallingly,Positive
,galls,Positive
,gangster,Positive
,gape,Positive
,garbage,Positive
,garish,Positive
,gasp,Positive
,gauche,Positive
,gaudy,Positive
,gawk,Positive
,gawky,Positive
,geezer,Positive
,genocide,Positive
,get-rich,Positive
,ghastly,Positive
,ghetto,Positive
,ghosting,Positive
,gibber,Positive
,gibberish,Positive
,gibe,Positive
,giddy,Positive
,gimmick,Positive
,gimmicked,Positive
,gimmicking,Positive
,gimmicks,Positive
,gimmicky,Positive
,glare,Positive
,glaringly,Positive
,glib,Positive
,glibly,Positive
,glitch,Positive
,glitches,Positive
,gloatingly,Positive
,gloom,Positive
,gloomy,Positive
,glower,Positive
,glum,Positive
,glut,Positive
,gnawing,Positive
,goad,Positive
,goading,Positive
,god-awful,Positive
,goof,Positive
,goofy,Positive
,goon,Positive
,gossip,Positive
,graceless,Positive
,gracelessly,Positive
,graft,Positive
,grainy,Positive
,grapple,Positive
,grate,Positive
,grating,Positive
,grave,Positive
,gravely,Positive
,greasy,Positive
,greed,Positive
,greedy,Positive
,grief,Positive
,grievance,Positive
,grievances,Positive
,grieve,Positive
,grieving,Positive
,grievous,Positive
,grievously,Positive
,grim,Positive
,grimace,Positive
,grind,Positive
,gripe,Positive
,gripes,Positive
,grisly,Positive
,gritty,Positive
,gross,Positive
,grossly,Positive
,grotesque,Positive
,grouch,Positive
,grouchy,Positive
,groundless,Positive
,grouse,Positive
,growl,Positive
,grudge,Positive
,grudges,Positive
,grudging,Positive
,grudgingly,Positive
,gruesome,Positive
,gruesomely,Positive
,gruff,Positive
,grumble,Positive
,grumpier,Positive
,grumpiest,Positive
,grumpily,Positive
,grumpy,Positive
,guile,Positive
,guilt,Positive
,guiltily,Positive
,guilty,Positive
,gullible,Positive
,gutless,Positive
,gutter,Positive
,guttergawky,Positive
,hack,Positive
,hacks,Positive
,haggard,Positive
,haggle,Positive
,halfhearted,Positive
,halfheartedly,Positive
,hallucinate,Positive
,hallucination,Positive
,hamper,Positive
,hampered,Positive
,handicapped,Positive
,hang,Positive
,hangs,Positive
,haphazard,Positive
,hapless,Positive
,harangue,Positive
,harass,Positive
,harassed,Positive
,harasses,Positive
,harassment,Positive
,harboring,Positive
,harbors,Positive
,hard,Positive
,hard-hearted,Positive
,hard-hit,Positive
,hard-liner,Positive
,hardball,Positive
,harden,Positive
,hardened,Positive
,hardheaded,Positive
,hardhearted,Positive
,hardliner,Positive
,hardliners,Positive
,hardship,Positive
,hardships,Positive
,harm,Positive
,harmed,Positive
,harmful,Positive
,harms,Positive
,harpy,Positive
,harridan,Positive
,harried,Positive
,harrow,Positive
,harsh,Positive
,harshly,Positive
,hassle,Positive
,hassled,Positive
,hassles,Positive
,haste,Positive
,hastily,Positive
,hasty,Positive
,hate,Positive
,hated,Positive
,hateful,Positive
,hatefully,Positive
,hatefulness,Positive
,hater,Positive
,haters,Positive
,hates,Positive
,hating,Positive
,hatred,Positive
,haughtily,Positive
,haughty,Positive
,haunt,Positive
,haunting,Positive
,havoc,Positive
,hawkish,Positive
,haywire,Positive
,hazard,Positive
,hazardous,Positive
,haze,Positive
,hazy,Positive
,head-aches,Positive
,headache,Positive
,headaches,Positive
,heartbreaker,Positive
,heartbreaking,Positive
,heartbreakingly,Positive
,heartless,Positive
,heathen,Positive
,heavy-handed,Positive
,heavyhearted,Positive
,heck,Positive
,heckle,Positive
,heckled,Positive
,heckles,Positive
,hectic,Positive
,hedge,Positive
,hedonistic,Positive
,heedless,Positive
,hefty,Positive
,hegemony,Positive
,heinous,Positive
,hell,Positive
,hell-bent,Positive
,hellion,Positive
,hells,Positive
,helpless,Positive
,helplessly,Positive
,helplessness,Positive
,heresy,Positive
,heretic,Positive
,heretical,Positive
,hesitant,Positive
,hideous,Positive
,hideously,Positive
,hideousness,Positive
,high-priced,Positive
,hinder,Positive
,hindrance,Positive
,hiss,Positive
,hissed,Positive
,hissing,Positive
,ho-hum,Positive
,hoard,Positive
,hoax,Positive
,hobble,Positive
,hogs,Positive
,hollow,Positive
,homely,Positive
,hoodwink,Positive
,hooligan,Positive
,hopeless,Positive
,hopelessly,Positive
,hopelessness,Positive
,horde,Positive
,horrendous,Positive
,horrendously,Positive
,horrible,Positive
,horrid,Positive
,horrific,Positive
,horrified,Positive
,horrifies,Positive
,horrify,Positive
,horrifying,Positive
,hostage,Positive
,hostile,Positive
,hostilities,Positive
,hostility,Positive
,hotbeds,Positive
,hothead,Positive
,hotheaded,Positive
,hothouse,Positive
,hubris,Positive
,huckster,Positive
,hum,Positive
,humid,Positive
,humiliate,Positive
,humiliating,Positive
,humiliation,Positive
,humming,Positive
,hung,Positive
,hurt,Positive
,hurtful,Positive
,hurting,Positive
,hurts,Positive
,hustler,Positive
,hype,Positive
,hypocrisy,Positive
,hypocrite,Positive
,hypocrites,Positive
,hypocritical,Positive
,hypocritically,Positive
,hysteria,Positive
,hysteric,Positive
,hysterical,Positive
,hysterically,Positive
,hysterics,Positive
,icky,Positive
,idiocies,Positive
,idiocy,Positive
,idiot,Positive
,idiotic,Positive
,idiotically,Positive
,idiots,Positive
,idle,Positive
,ignoble,Positive
,ignominious,Positive
,ignominiously,Positive
,ignominy,Positive
,ignorance,Positive
,ignorant,Positive
,ignore,Positive
,ill,Positive
,ill-advised,Positive
,ill-conceived,Positive
,ill-defined,Positive
,ill-designed,Positive
,ill-fated,Positive
,ill-favored,Positive
,ill-formed,Positive
,ill-mannered,Positive
,ill-natured,Positive
,ill-sorted,Positive
,ill-tempered,Positive
,ill-treated,Positive
,ill-treatment,Positive
,ill-usage,Positive
,ill-used,Positive
,illegal,Positive
,illegally,Positive
,illegitimate,Positive
,illicit,Positive
,illiterate,Positive
,illness,Positive
,illogical,Positive
,illogically,Positive
,illusion,Positive
,illusions,Positive
,illusory,Positive
,imaginary,Positive
,imbalance,Positive
,imbecile,Positive
,imbroglio,Positive
,immaterial,Positive
,immature,Positive
,imminence,Positive
,imminently,Positive
,immobilized,Positive
,immoderate,Positive
,immoderately,Positive
,immodest,Positive
,immoral,Positive
,immorality,Positive
,immorally,Positive
,immovable,Positive
,impair,Positive
,impaired,Positive
,impasse,Positive
,impatience,Positive
,impatient,Positive
,impatiently,Positive
,impeach,Positive
,impedance,Positive
,impede,Positive
,impediment,Positive
,impending,Positive
,impenitent,Positive
,imperfect,Positive
,imperfection,Positive
,imperfections,Positive
,imperfectly,Positive
,imperialist,Positive
,imperil,Positive
,imperious,Positive
,imperiously,Positive
,impermissible,Positive
,impersonal,Positive
,impertinent,Positive
,impetuous,Positive
,impetuously,Positive
,impiety,Positive
,impinge,Positive
,impious,Positive
,implacable,Positive
,implausible,Positive
,implausibly,Positive
,implicate,Positive
,implication,Positive
,implode,Positive
,impolite,Positive
,impolitely,Positive
,impolitic,Positive
,importunate,Positive
,importune,Positive
,impose,Positive
,imposers,Positive
,imposing,Positive
,imposition,Positive
,impossible,Positive
,impossibleimpossibly,Positive
,impossibly,Positive
,impotent,Positive
,impoverish,Positive
,impoverished,Positive
,impractical,Positive
,imprecate,Positive
,imprecise,Positive
,imprecisely,Positive
,imprecision,Positive
,imprison,Positive
,imprisonment,Positive
,improbability,Positive
,improbable,Positive
,improbably,Positive
,improper,Positive
,improperly,Positive
,impropriety,Positive
,imprudence,Positive
,imprudent,Positive
,impudence,Positive
,impudent,Positive
,impudently,Positive
,impugn,Positive
,impulsive,Positive
,impulsively,Positive
,impunity,Positive
,impure,Positive
,impurity,Positive
,in,Positive
,inability,Positive
,inaccuracies,Positive
,inaccuracy,Positive
,inaccurate,Positive
,inaccurately,Positive
,inaction,Positive
,inactive,Positive
,inadequacy,Positive
,inadequate,Positive
,inadequately,Positive
,inadvisable,Positive
,inane,Positive
,inanely,Positive
,inappropriate,Positive
,inappropriately,Positive
,inapt,Positive
,inarticulate,Positive
,inattentive,Positive
,inaudible,Positive
,incapable,Positive
,incapably,Positive
,incautious,Positive
,incendiary,Positive
,incense,Positive
,incessant,Positive
,incessantly,Positive
,incite,Positive
,incitement,Positive
,incivility,Positive
,inclement,Positive
,incoherence,Positive
,incoherent,Positive
,incoherently,Positive
,incommensurate,Positive
,incomparable,Positive
,incomparably,Positive
,incompatibility,Positive
,incompatible,Positive
,incompetence,Positive
,incompetent,Positive
,incompetently,Positive
,incomplete,Positive
,incomprehensible,Positive
,incomprehension,Positive
,inconceivable,Positive
,inconceivably,Positive
,incongruous,Positive
,incongruously,Positive
,inconsequential,Positive
,inconsequentially,Positive
,inconsiderate,Positive
,inconsiderately,Positive
,inconsistencies,Positive
,inconsistency,Positive
,inconsistent,Positive
,inconsolable,Positive
,inconsolably,Positive
,inconstant,Positive
,inconvenience,Positive
,inconveniently,Positive
,incorrect,Positive
,incorrectly,Positive
,incorrigible,Positive
,incorrigibly,Positive
,incredulous,Positive
,incredulously,Positive
,inculcate,Positive
,indecency,Positive
,indecent,Positive
,indecently,Positive
,indecision,Positive
,indecisive,Positive
,indecisively,Positive
,indefensible,Positive
,indelicate,Positive
,indeterminable,Positive
,indeterminably,Positive
,indeterminate,Positive
,indifference,Positive
,indifferent,Positive
,indigent,Positive
,indignant,Positive
,indignantly,Positive
,indignation,Positive
,indignity,Positive
,indiscernible,Positive
,indiscreet,Positive
,indiscreetly,Positive
,indiscretion,Positive
,indiscriminate,Positive
,indiscriminately,Positive
,indistinguishable,Positive
,indoctrinate,Positive
,indoctrination,Positive
,indolent,Positive
,indulge,Positive
,ineffective,Positive
,ineffectively,Positive
,ineffectiveness,Positive
,ineffectual,Positive
,ineffectually,Positive
,inefficacy,Positive
,inefficiency,Positive
,inefficient,Positive
,inefficiently,Positive
,inelegance,Positive
,inelegant,Positive
,ineligible,Positive
,ineligibleinept,Positive
,inept,Positive
,ineptitude,Positive
,ineptly,Positive
,inequalities,Positive
,inequality,Positive
,inequitable,Positive
,inequitably,Positive
,inequities,Positive
,inescapable,Positive
,inescapably,Positive
,inessential,Positive
,inevitable,Positive
,inevitably,Positive
,inexcusable,Positive
,inexcusably,Positive
,inexorable,Positive
,inexorably,Positive
,inexperience,Positive
,inexperienced,Positive
,inexpert,Positive
,inexpertly,Positive
,inexpiable,Positive
,inextricable,Positive
,inextricably,Positive
,infamous,Positive
,infamously,Positive
,infamy,Positive
,infected,Positive
,infection,Positive
,infections,Positive
,inferior,Positive
,inferiority,Positive
,infernal,Positive
,infest,Positive
,infested,Positive
,infidel,Positive
,infidels,Positive
,infiltrator,Positive
,infiltrators,Positive
,infirm,Positive
,inflame,Positive
,inflammation,Positive
,inflammatory,Positive
,inflated,Positive
,inflationary,Positive
,inflexible,Positive
,inflict,Positive
,infraction,Positive
,infringe,Positive
,infringement,Positive
,infringements,Positive
,infuriate,Positive
,infuriated,Positive
,infuriating,Positive
,infuriatingly,Positive
,inglorious,Positive
,ingrate,Positive
,ingratitude,Positive
,inhibit,Positive
,inhibition,Positive
,inhospitable,Positive
,inhospitableinhuman,Positive
,inhuman,Positive
,inhumane,Positive
,inhumanity,Positive
,inimical,Positive
,inimically,Positive
,iniquitous,Positive
,iniquity,Positive
,injudicious,Positive
,injure,Positive
,injureinjurious,Positive
,injurious,Positive
,injury,Positive
,injustice,Positive
,injustices,Positive
,innuendo,Positive
,inoperable,Positive
,inopportune,Positive
,inordinate,Positive
,inordinately,Positive
,insane,Positive
,insanely,Positive
,insanity,Positive
,insatiable,Positive
,insecure,Positive
,insecurity,Positive
,insensible,Positive
,insensitive,Positive
,insensitively,Positive
,insensitivity,Positive
,insidious,Positive
,insidiously,Positive
,insignificance,Positive
,insignificant,Positive
,insignificantly,Positive
,insincere,Positive
,insincerely,Positive
,insincerity,Positive
,insinuate,Positive
,insinuating,Positive
,insinuation,Positive
,insipid,Positive
,insolence,Positive
,insolent,Positive
,insolently,Positive
,insolvent,Positive
,insouciance,Positive
,instability,Positive
,instigate,Positive
,instigator,Positive
,instigators,Positive
,insubordinate,Positive
,insubstantial,Positive
,insubstantially,Positive
,insufferable,Positive
,insufferably,Positive
,insufficiency,Positive
,insufficient,Positive
,insufficiently,Positive
,insular,Positive
,insult,Positive
,insulted,Positive
,insulting,Positive
,insultingly,Positive
,insults,Positive
,insupportable,Positive
,insurmountable,Positive
,insurmountably,Positive
,insurrection,Positive
,intense,Positive
,interfere,Positive
,interference,Positive
,interferes,Positive
,intermittent,Positive
,interrupt,Positive
,interruption,Positive
,interruptions,Positive
,intimidate,Positive
,intimidating,Positive
,intimidatingly,Positive
,intimidation,Positive
,intolerable,Positive
,intolerance,Positive
,intoxicate,Positive
,intractable,Positive
,intransigence,Positive
,intransigent,Positive
,intrude,Positive
,intrusion,Positive
,intrusive,Positive
,inundate,Positive
,inundated,Positive
,invader,Positive
,invalid,Positive
,invalidate,Positive
,invalidity,Positive
,invasive,Positive
,invective,Positive
,inveigle,Positive
,invidious,Positive
,invidiously,Positive
,invidiousness,Positive
,invisible,Positive
,involuntarily,Positive
,involuntary,Positive
,irascible,Positive
,irate,Positive
,irately,Positive
,ire,Positive
,irk,Positive
,irked,Positive
,irking,Positive
,irks,Positive
,irksome,Positive
,irksomely,Positive
,irksomeness,Positive
,ironic,Positive
,ironical,Positive
,ironically,Positive
,ironies,Positive
,irony,Positive
,irrational,Positive
,irrationality,Positive
,irrationally,Positive
,irrationals,Positive
,irreconcilable,Positive
,irrecoverable,Positive
,irrecoverably,Positive
,irredeemable,Positive
,irredeemably,Positive
,irregular,Positive
,irregularity,Positive
,irrelevance,Positive
,irrelevant,Positive
,irreparable,Positive
,irrepressible,Positive
,irresolute,Positive
,irresoluteirresponsible,Positive
,irresponsible,Positive
,irresponsibly,Positive
,irresponsiblyirretrievable,Positive
,irretrievable,Positive
,irreversible,Positive
,irritable,Positive
,irritably,Positive
,irritant,Positive
,irritate,Positive
,irritated,Positive
,irritating,Positive
,irritation,Positive
,irritations,Positive
,isolate,Positive
,isolated,Positive
,isolation,Positive
,issue,Positive
,issues,Positive
,itch,Positive
,itching,Positive
,itchy,Positive
,jabber,Positive
,jaded,Positive
,jagged,Positive
,jam,Positive
,jarring,Positive
,jaundiced,Positive
,jealous,Positive
,jealously,Positive
,jealousness,Positive
,jealousy,Positive
,jeer,Positive
,jeering,Positive
,jeeringly,Positive
,jeers,Positive
,jeopardize,Positive
,jeopardy,Positive
,jerk,Positive
,jerky,Positive
,jitter,Positive
,jitters,Positive
,jittery,Positive
,job-killing,Positive
,jobless,Positive
,joke,Positive
,joker,Positive
,jolt,Positive
,judder,Positive
,juddering,Positive
,judders,Positive
,jumpy,Positive
,junk,Positive
,junky,Positive
,junkyard,Positive
,kill,Positive
,killed,Positive
,killer,Positive
,killing,Positive
,killjoy,Positive
,kills,Positive
,knave,Positive
,knife,Positive
,knock,Positive
,knotted,Positive
,kook,Positive
,kooky,Positive
,lack,Positive
,lackadaisical,Positive
,lacked,Positive
,lackey,Positive
,lackeys,Positive
,lacking,Positive
,lackluster,Positive
,lacks,Positive
,laconic,Positive
,lag,Positive
,lagged,Positive
,lagging,Positive
,lags,Positive
,laid-off,Positive
,lambast,Positive
,lambaste,Positive
,lame,Positive
,lame-duck,Positive
,lament,Positive
,lamentable,Positive
,lamentably,Positive
,languid,Positive
,languish,Positive
,languor,Positive
,languorous,Positive
,languorously,Positive
,lanky,Positive
,lapse,Positive
,lapsed,Positive
,lapses,Positive
,lascivious,Positive
,last-ditch,Positive
,latency,Positive
,laughable,Positive
,laughably,Positive
,laughingstock,Positive
,lawbreaker,Positive
,lawbreaking,Positive
,lawless,Positive
,lawlessness,Positive
,layoff,Positive
,layoff-happy,Positive
,lazy,Positive
,leak,Positive
,leakage,Positive
,leakages,Positive
,leaking,Positive
,leaks,Positive
,leaky,Positive
,lecher,Positive
,lecherous,Positive
,lechery,Positive
,leech,Positive
,leer,Positive
,leery,Positive
,left-leaning,Positive
,lemon,Positive
,lengthy,Positive
,less-developed,Positive
,lesser-known,Positive
,letch,Positive
,lethal,Positive
,lethargic,Positive
,lethargy,Positive
,lewd,Positive
,lewdly,Positive
,lewdness,Positive
,liability,Positive
,liable,Positive
,liar,Positive
,liars,Positive
,licentious,Positive
,licentiously,Positive
,licentiousness,Positive
,lie,Positive
,lied,Positive
,lies,Positive
,life-threatening,Positive
,lifeless,Positive
,limit,Positive
,limitation,Positive
,limitations,Positive
,limited,Positive
,limits,Positive
,limp,Positive
,listless,Positive
,litigious,Positive
,little-known,Positive
,livid,Positive
,lividly,Positive
,loath,Positive
,loathe,Positive
,loathing,Positive
,loathly,Positive
,loathsome,Positive
,loathsomely,Positive
,lone,Positive
,loneliness,Positive
,lonely,Positive
,loner,Positive
,lonesome,Positive
,long-time,Positive
,long-winded,Positive
,longing,Positive
,longingly,Positive
,loophole,Positive
,loopholes,Positive
,loose,Positive
,lootlose,Positive
,loselousylumpy,Positive
,loser,Positive
,losers,Positive
,loses,Positive
,losing,Positive
,loss,Positive
,losses,Positive
,lost,Positive
,loud,Positive
,louder,Positive
,lousy,Positive
,loveless,Positive
,lovelorn,Positive
,low-rated,Positive
,lowly,Positive
,ludicrous,Positive
,ludicrously,Positive
,lugubrious,Positive
,lukewarm,Positive
,lull,Positive
,lumpy,Positive
,lunaticlurch,Positive
,lure,Positive
,lurid,Positive
,lurk,Positive
,lurking,Positive
,lying,Positive
,macabre,Positive
,mad,Positive
,madden,Positive
,maddening,Positive
,maddeningly,Positive
,madder,Positive
,madly,Positive
,madman,Positive
,madness,Positive
,maladjusted,Positive
,maladjustment,Positive
,malady,Positive
,malaise,Positive
,malcontent,Positive
,malcontented,Positive
,maledict,Positive
,malevolence,Positive
,malevolent,Positive
,malevolently,Positive
,malice,Positive
,malicious,Positive
,maliciously,Positive
,maliciousness,Positive
,malign,Positive
,malignant,Positive
,malodorous,Positive
,maltreatment,Positive
,mangle,Positive
,mangled,Positive
,mangles,Positive
,mangling,Positive
,mania,Positive
,maniac,Positive
,maniacal,Positive
,manic,Positive
,manipulate,Positive
,manipulation,Positive
,manipulative,Positive
,manipulators,Positive
,mar,Positive
,marginal,Positive
,marginally,Positive
,martyrdom,Positive
,martyrdom-seeking,Positive
,mashed,Positive
,massacre,Positive
,massacres,Positive
,matte,Positive
,mawkish,Positive
,mawkishly,Positive
,mawkishness,Positive
,meager,Positive
,mean,Positive
,meaningless,Positive
,meanness,Positive
,measly,Positive
,meddle,Positive
,meddlesome,Positive
,mediocre,Positive
,mediocrity,Positive
,melancholy,Positive
,melodramatic,Positive
,melodramatically,Positive
,meltdown,Positive
,menace,Positive
,menacing,Positive
,menacingly,Positive
,mendacious,Positive
,mendacity,Positive
,menial,Positive
,merciless,Positive
,mercilessly,Positive
,mess,Positive
,messed,Positive
,messes,Positive
,messing,Positive
,messy,Positive
,midget,Positive
,miff,Positive
,militancy,Positive
,mindless,Positive
,mindlessly,Positive
,mirage,Positive
,mire,Positive
,misalign,Positive
,misaligned,Positive
,misaligns,Positive
,misapprehend,Positive
,misbecome,Positive
,misbecoming,Positive
,misbegotten,Positive
,misbehave,Positive
,misbehavior,Positive
,miscalculate,Positive
,miscalculation,Positive
,miscellaneous,Positive
,mischief,Positive
,mischievous,Positive
,mischievously,Positive
,misconception,Positive
,misconceptions,Positive
,miscreant,Positive
,miscreants,Positive
,misdirection,Positive
,miser,Positive
,miserable,Positive
,miserableness,Positive
,miserably,Positive
,miseries,Positive
,miserly,Positive
,misery,Positive
,misfit,Positive
,misfortune,Positive
,misgiving,Positive
,misgivings,Positive
,misguidance,Positive
,misguide,Positive
,misguided,Positive
,mishandle,Positive
,mishap,Positive
,misinform,Positive
,misinformed,Positive
,misinterpret,Positive
,misjudge,Positive
,misjudgment,Positive
,mislead,Positive
,misleading,Positive
,misleadingly,Positive
,mismanage,Positive
,mispronounce,Positive
,mispronounced,Positive
,mispronounces,Positive
,misread,Positive
,misreading,Positive
,misrepresent,Positive
,misrepresentation,Positive
,miss,Positive
,missed,Positive
,misses,Positive
,misshapen,Positive
,missing,Positive
,misstatement,Positive
,mist,Positive
,mistake,Positive
,mistaken,Positive
,mistakenly,Positive
,mistakes,Positive
,mistress,Positive
,mistrust,Positive
,mistrustful,Positive
,mistrustfully,Positive
,mists,Positive
,misunderstand,Positive
,misunderstanding,Positive
,misunderstandings,Positive
,misunderstood,Positive
,misuse,Positive
,moan,Positive
,mobster,Positive
,mock,Positive
,mocked,Positive
,mockeries,Positive
,mockery,Positive
,mocking,Positive
,mockingly,Positive
,mocks,Positive
,moldy,Positive
,molest,Positive
,molestation,Positive
,monotonous,Positive
,monotony,Positive
,monster,Positive
,monstrosities,Positive
,monstrosity,Positive
,monstrous,Positive
,monstrously,Positive
,moody,Positive
,moot,Positive
,mope,Positive
,morbid,Positive
,morbidly,Positive
,mordant,Positive
,mordantly,Positive
,moribund,Positive
,moron,Positive
,moronic,Positive
,morons,Positive
,mortification,Positive
,mortified,Positive
,mortify,Positive
,mortifying,Positive
,motionless,Positive
,motley,Positive
,mourn,Positive
,mourner,Positive
,mournful,Positive
,mournfully,Positive
,mouth,Positive
,muddle,Positive
,muddy,Positive
,mudslinger,Positive
,mudslinging,Positive
,mulish,Positive
,multi-polarization,Positive
,mundane,Positive
,murder,Positive
,murderer,Positive
,murderous,Positive
,murderously,Positive
,murky,Positive
,muscle-flexing,Positive
,mushy,Positive
,musty,Positive
,mysterious,Positive
,mysteriously,Positive
,mystery,Positive
,mystify,Positive
,myth,Positive
,mythmalicious,Positive
,nag,Positive
,nagging,Positive
,naive,Positive
,naively,Positive
,narrower,Positive
,nastily,Positive
,nastiness,Positive
,nasty,Positive
,naughty,Positive
,nauseate,Positive
,nauseates,Positive
,nauseating,Positive
,nauseatingly,Positive
,naïve,Positive
,nebulous,Positive
,nebulously,Positive
,needless,Positive
,needlessly,Positive
,needy,Positive
,nefarious,Positive
,nefariously,Positive
